model,seed,cohort,roc_auc,pr_auc,accuracy,f1,sensitivity,specificity,brier_score,ece
FedProx MLP (mu=0.01),2024,CGGA_external_val,0.926829268292683,0.9772789615029299,0.94,0.9629629629629629,0.9512195121951219,0.8888888888888888,0.05505792755090754,0.04954548439004429
Patient DP (sigma=0.05),2024,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.0009013191263830173,0.011731326825887688
Patient DP (sigma=0.05),2024,UPenn_external_test,0.7434640522875818,0.9647179444498137,0.7894736842105263,0.8775510204081632,0.8431372549019608,0.3333333333333333,0.17773367184109798,0.18076487947392963
Patient DP (sigma=0.05),2024,CGGA_external_val,0.9214092140921409,0.9768932856413468,0.9,0.9367088607594937,0.9024390243902439,0.8888888888888888,0.07979367142298406,0.07653158339591797
Client DP (sigma=0.05),2024,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.0007273950606365222,0.013751229947748057
Client DP (sigma=0.05),2024,UPenn_external_test,0.744281045751634,0.9655872056597905,0.7543859649122807,0.8541666666666666,0.803921568627451,0.3333333333333333,0.185246936242293,0.19220845912646245
Client DP (sigma=0.05),2024,CGGA_external_val,0.910569105691057,0.9698051064046741,0.9,0.9367088607594937,0.9024390243902439,0.8888888888888888,0.08799151187874124,0.12512825154064292
Patient DP (sigma=0.10),2024,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.0007273950606365222,0.013751229947748057
Patient DP (sigma=0.10),2024,UPenn_external_test,0.744281045751634,0.9655872056597905,0.7543859649122807,0.8541666666666666,0.803921568627451,0.3333333333333333,0.185246936242293,0.19220845912646245
Patient DP (sigma=0.10),2024,CGGA_external_val,0.910569105691057,0.9698051064046741,0.9,0.9367088607594937,0.9024390243902439,0.8888888888888888,0.08799151187874124,0.12512825154064292
Client DP (sigma=0.10),2024,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.004676102047766592,0.035131375087478864
Client DP (sigma=0.10),2024,UPenn_external_test,0.7459150326797387,0.965120782276829,0.7807017543859649,0.8717948717948718,0.8333333333333334,0.3333333333333333,0.15984953550998549,0.1449937726428147
Client DP (sigma=0.10),2024,CGGA_external_val,0.907859078590786,0.9679687409568786,0.86,0.9090909090909091,0.8536585365853658,0.8888888888888888,0.09227537951775315,0.11748086479065221
Patient DP (sigma=0.20),2024,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.004676102047766592,0.035131375087478864
Patient DP (sigma=0.20),2024,UPenn_external_test,0.7459150326797387,0.965120782276829,0.7807017543859649,0.8717948717948718,0.8333333333333334,0.3333333333333333,0.15984953550998549,0.1449937726428147
Patient DP (sigma=0.20),2024,CGGA_external_val,0.907859078590786,0.9679687409568786,0.86,0.9090909090909091,0.8536585365853658,0.8888888888888888,0.09227537951775315,0.11748086479065221
Client DP (sigma=0.20),2024,TCGA_test,1.0,1.0,0.991304347826087,0.9945945945945946,1.0,0.9565217391304348,0.006738645764331746,0.01308452178855134
Client DP (sigma=0.20),2024,UPenn_external_test,0.7099673202614379,0.9542127539168874,0.7631578947368421,0.8615384615384616,0.8235294117647058,0.25,0.18837529893680335,0.19923677630010556
Client DP (sigma=0.20),2024,CGGA_external_val,0.8644986449864499,0.9556659986136268,0.82,0.8860759493670886,0.8536585365853658,0.6666666666666666,0.11742461118596731,0.13854285938788105
Centralized LR,3407,TCGA_test,0.9995274102079396,0.9998831229546519,0.991304347826087,0.994535519125683,0.9891304347826086,1.0,0.021181830695075114,0.09032451524207892
Centralized LR,3407,UPenn_external_test,0.7630718954248367,0.9680312022338088,0.7807017543859649,0.8691099476439791,0.8137254901960784,0.5,0.16288362881253915,0.1785171887416427
Centralized LR,3407,CGGA_external_val,0.7940379403794038,0.9451324537355787,0.84,0.9,0.8780487804878049,0.6666666666666666,0.13024948036503603,0.11510361225929559
Centralized RF,3407,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.027145797552393037,0.13639794935269714
Centralized RF,3407,UPenn_external_test,0.7344771241830065,0.9605225394777936,0.8070175438596491,0.8877551020408163,0.8529411764705882,0.4166666666666667,0.14427382173631814,0.18399484798065902
Centralized RF,3407,CGGA_external_val,0.7940379403794038,0.9404867579586014,0.84,0.9,0.8780487804878049,0.6666666666666666,0.13516933521181765,0.12283522208338168
